Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,0.008321,0.008697,0.008014,0.008697,0.008697,4517867
2021-03-02,0.008697,0.008925,0.008121,0.008585,0.008585,4153505
2021-03-03,0.008586,0.011196,0.008522,0.009133,0.009133,5135592
2021-03-04,0.009123,0.009524,0.008757,0.009087,0.009087,902603
2021-03-05,0.009088,0.009308,0.008458,0.008831,0.008831,4393503
2021-03-06,0.008830,0.009067,0.008242,0.008492,0.008492,4082893
2021-03-07,0.008489,0.009293,0.008457,0.008797,0.008797,4449340
2021-03-08,0.008795,0.008953,0.008203,0.008598,0.008598,4787259
2021-03-09,0.008598,0.009186,0.008527,0.008754,0.008754,3779752
2021-03-10,0.008759,0.008843,0.008306,0.008487,0.008487,3580320
2021-03-11,0.008488,0.009305,0.008064,0.008833,0.008833,3334688
2021-03-12,0.008834,0.009610,0.008720,0.009122,0.009122,4607741
2021-03-13,0.009120,0.010502,0.008892,0.009932,0.009932,5221991
2021-03-14,0.009930,0.010052,0.008919,0.009410,0.009410,4490600
2021-03-15,0.009404,0.011138,0.009166,0.010976,0.010976,5678569
2021-03-16,0.010976,0.012317,0.010466,0.011577,0.011577,6236636
2021-03-17,0.011580,0.012961,0.011068,0.012344,0.012344,5345994
2021-03-18,0.012349,0.013301,0.011771,0.012859,0.012859,6461778
2021-03-19,0.012859,0.013407,0.011162,0.011402,0.011402,6003872
2021-03-20,0.011404,0.012573,0.011404,0.011949,0.011949,5711440
2021-03-21,0.011945,0.012132,0.011107,0.011620,0.011620,5720131
2021-03-22,0.011625,0.012358,0.011082,0.011785,0.011785,5135778
2021-03-23,0.011783,0.012689,0.011638,0.012112,0.012112,6434997
2021-03-24,0.012107,0.013568,0.011667,0.013353,0.013353,6499653
2021-03-25,0.013351,0.014512,0.012763,0.013882,0.013882,7014365
2021-03-26,0.013880,0.015334,0.013829,0.014978,0.014978,7341268
2021-03-27,0.014980,0.019530,0.014761,0.016151,0.016151,9539664
2021-03-28,0.016149,0.018421,0.014497,0.016453,0.016453,10361984
2021-03-29,0.016452,0.016831,0.014024,0.015632,0.015632,8610239
2021-03-30,0.015632,0.018101,0.015596,0.017504,0.017504,8425457
2021-03-31,0.017503,0.019170,0.017116,0.017905,0.017905,8301699
2021-04-01,0.017900,0.018768,0.016424,0.017614,0.017614,8386438
2021-04-02,0.017624,0.017901,0.015988,0.016929,0.016929,8529878
2021-04-03,0.016936,0.018165,0.016530,0.017515,0.017515,8405592
2021-04-04,0.017503,0.019866,0.017026,0.019487,0.019487,10066425
